CURSO,CURRICULO,COD_DISCIPLINA,NOME,SITUACAO_CURRICULO,TIPO,CH,ESTAGIO_CONCLUINTE,PERIODO_IDEAL
11104100,1978,1112027,EXPRESSAO TRIDIMENSIONAL II,I,Normais,90,
11104100,1978,1112026,EXPRESSAO TRIDIMENSIONAL I(SDI,I,Normais,90,
11104100,1978,1112028,FASHION DESIGN (SDI),I,Normais,60,
11104100,1978,1108013,FÍSICA APL DES INDUSTRIAL I,I,Normais,30,
11104100,1978,1108014,FÍSICA APL DES INDUSTRIAL II,I,Normais,30,
11104100,1978,1108058,FÍSICA (SDI),I,Normais,60,
11104100,1978,1112090,FOTOGRAFIA  B P (SDI),I,Normais,15,
11104100,1978,1112030,FOTOGRAFIA DO PRODUTO (SDI),I,Normais,60,
11104100,1978,1112116,FOTOGRAFIA EM DESIGN (SDI),I,Normais,60,
11104100,1978,1105059,FOTOGRAFIA I,I,Normais,30,
11104100,1978,1112031,FOTOGRAFIA I,I,Normais,30,
11104100,1978,1105060,FOTOGRAFIA II,I,Normais,30,
11104100,1978,1112032,FOTOGRAFIA II,I,Normais,30,
11104100,1978,1112029,FOTOGRAFIA (SDI),I,Normais,120,
11104100,1978,1307009,FRANCES,I,Normais,75,
11104100,1978,1304172,FUTEBOL MASCULINO,I,Normais,30,
11104100,1978,1304055,FUTSAL,I,Normais,30,
11104100,1978,1304123,FUTSAL - FEM,I,Normais,30,
11104100,1978,1105080,GEOM DESC INT AO DES INDUST,I,Normais,60,
11104100,1978,1105158,GEOMETRIA DESCRITIVA,I,Normais,60,
11104100,1978,1112033,GERENCIAMENTO DE DESIGN (SDI),I,Normais,30,
11104100,1978,1304022,GINASTICA - FEM,I,Normais,30,
11104100,1978,1304010,GINASTICA - MASC,I,Normais,30,
11104100,1978,1304117,GINASTICA MASC/FEM,I,Normais,30,
11104100,1978,1304026,HANDEBOL - FEM,I,Normais,30,
11104100,1978,1112034,HIGIENE E SEGUR DO TRABALHO,I,Normais,60,
11104100,1978,1105005,HIGIENE INDUSTRIAL E SEG DO TRABALHO,I,Normais,45,
11104100,1978,1105042,HIST DA INDUSTRIALIZ NO BRASIL,I,Normais,30,
11104100,1978,1112040,HIST DO DESIGN E TECNOLOGIA II,I,Normais,30,
11104100,1978,1112035,HIST INDUSTR E DESIGN NO BRASIL,I,Normais,30,
11104100,1978,1112099,HISTÓRIA DA  ARTE (SDI),I,Normais,60,
11104100,1978,1112140,HISTÓRIA DA ARTE,I,Normais,60,
11104100,1978,1302019,HISTÓRIA DA ARTE,I,Normais,60,
11104100,1978,1306053,HISTÓRIA DA ARTE,I,Normais,60,
11104100,1978,1112036,HISTÓRIA DA INDÚSTRIA NO BRASIL,I,Normais,30,
11104100,1978,1105040,HISTÓRIA DA TECNOLOGIA I,I,Normais,30,
11104100,1978,1112037,HISTÓRIA DA TECNOLOGIA I,I,Normais,30,
11104100,1978,1105041,HISTÓRIA DA TECNOLOGIA II,I,Normais,30,
11104100,1978,1112038,HISTÓRIA DA TECNOLOGIA II,I,Normais,30,
11104100,1978,1112091,HISTÓRIA DO DESIGN (SDI),I,Normais,30,
11104100,1978,1112125,IDENTIDADE VISUAL (SDI),I,Normais,60,
11104100,1978,1112041,IMAGEM E TEXTO (SDI),I,Normais,60,
11104100,1978,1112042,IMAGENS EM MOVIMENTO (SDI),I,Normais,60,
11104100,1978,1307011,INGLES,I,Normais,75,
11104100,1978,1112092,INT. À ANÁLISE DA IMAGEM (SDI),I,Normais,60,
11104100,1978,1112043,INT. À METODOLOGIA E PROJETOS,I,Normais,90,
11104100,1978,1112085,INT. A PROGRAMA|AO VISUAL(SDI),I,Normais,60,
11104100,1978,1411001,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,I,Normais,60,
11104100,1978,1112105,INTRODUÇÃO AO TCC/DESIGN (SDI),I,Trabalho de Graduação,15,
11104100,1978,1304060,JUDO - FEM,I,Normais,30,
11104100,1978,1304173,JUDO - MASC/FEM,I,Normais,30,
11104100,1978,1105061,LAB FOTOGRAFICO I,I,Normais,30,
11104100,1978,1105062,LAB FOTOGRAFICO II,I,Normais,30,
11104100,1978,1112044,LABORATÓRIO FOTOGRÁFICO I,I,Normais,30,
11104100,1978,1112045,LABORATÓRIO FOTOGRÁFICO II,I,Normais,30,
11104100,1978,1112046,LAY-OUT DA PRODUCAO (SDI),I,Normais,30,
11104100,1978,1105198,LEGISLACAO E NORMAS,I,Normais,30,
11104100,1978,1112047,LEGISLACAO E NORMAS,I,Normais,30,
11104100,1978,1307045,LINGUA PORTUGUESA,I,Normais,75,
11104100,1978,1112048,LINGUAGEM DE VIDEO (SDI),I,Normais,60,
11104100,1978,1112100,MARKETING & GERENCIAMENTO (SDI),I,Normais,60,
11104100,1978,1112050,MARKETING APLIC AO DESIGN(SDI),I,Normais,60,
11104100,1978,1109036,MATEMÁTICA APL AO DESENHO INDUSTRIAL,I,Normais,60,
11104100,1978,1109119,MATEMÁTICA APLICADA AO DESIGN,I,Normais,60,
11104100,1978,1105001,MATERIAIS DE CONSTRUÇÃO MECÂNICA I,I,Normais,75,
11104100,1978,1105070,MATERIAIS E PROCESSOS GRAFICOS,I,Normais,60,
11104100,1978,1112051,MATERIAIS E PROCESSOS GRAFICOS,I,Normais,60,
11104100,1978,1112093,MATERIAIS E PROCESSOS (SDI),I,Normais,60,
11104100,1978,1305024,MATRICULA INSTITUCIONAL,I,Normais,0,
11104100,1978,1305193,MATRICULA TRANCADA,I,Normais,0,
11104100,1978,1305022,METODOL. E TEC. DE PESQUISA I,I,Normais,45,
11104100,1978,1112052,METODOL. P/ DESENV. DE PROJETO,I,Normais,30,
11104100,1978,1112053,METODOL VISUAL BI E TRID (SDI),I,Normais,90,
11104100,1978,1112101,METODOLOGIA CIENTÍFICA (SDI),I,Normais,60,
11104100,1978,1305048,METODOLOGIA DAS CIÊNCIAS,I,Normais,75,
11104100,1978,1112126,METODOLOGIA PARA PROJETO (SDI),I,Normais,60,
11104100,1978,1105069,METODOLOGIA P/DES.DE PROJETOS,I,Normais,30,
11104100,1978,1105035,METODOLOGIA VISUAL I,I,Normais,60,
11104100,1978,1112054,METODOLOGIA VISUAL I,I,Normais,60,
11104100,1978,1105036,METODOLOGIA VISUAL II,I,Normais,60,
11104100,1978,1112055,METODOLOGIA VISUAL II,I,Normais,60,
